#Data tag : 24v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
279115:5229,08/20/16 22:08:09,407,HLT_PFJet140_v6,0.000033716,0.000032469
279116:5229,08/21/16 01:36:03,448,HLT_PFJet140_v6,0.000036073,0.000034602
279479:5247,08/25/16 04:33:24,105,HLT_PFJet140_v6,0.000005349,0.000005069
279588:5251,08/25/16 21:08:11,1160,HLT_PFJet140_v6,0.000099558,0.000096047
279653:5253,08/26/16 14:05:52,188,HLT_PFJet140_v6,0.000015764,0.000014626
279654:5253,08/26/16 15:21:58,1245,HLT_PFJet140_v6,0.000108532,0.000105070
279656:5253,08/26/16 23:49:40,49,HLT_PFJet140_v6,0.000004296,0.000003187
279658:5253,08/27/16 01:35:19,713,HLT_PFJet140_v6,0.000071031,0.000068932
279667:5254,08/27/16 09:08:23,966,HLT_PFJet140_v6,0.000078598,0.000075971
279681:5256,08/27/16 21:57:02,28,HLT_PFJet140_v6,0.000001927,0.000001758
279682:5256,08/27/16 22:11:02,47,HLT_PFJet140_v6,0.000004031,0.000002523
279683:5256,08/27/16 22:32:16,31,HLT_PFJet140_v6,0.000002688,0.000002145
279684:5256,08/27/16 22:46:58,30,HLT_PFJet140_v6,0.000002542,0.000001787
279685:5256,08/27/16 23:07:12,208,HLT_PFJet140_v6,0.000014590,0.000014123
279691:5257,08/28/16 03:41:26,50,HLT_PFJet140_v6,0.000003470,0.000002797
279694:5257,08/28/16 04:03:09,2235,HLT_PFJet140_v6,0.000200317,0.000194621
279715:5258,08/28/16 22:01:34,577,HLT_PFJet140_v6,0.000043090,0.000041319
279716:5258,08/29/16 02:17:06,1638,HLT_PFJet140_v6,0.000154413,0.000150417
279760:5261,08/29/16 20:21:24,658,HLT_PFJet140_v6,0.000049275,0.000047436
279766:5261,08/30/16 01:08:36,1690,HLT_PFJet140_v6,0.000157849,0.000153058
279767:5261,08/30/16 12:08:03,776,HLT_PFJet140_v6,0.000073521,0.000071892
279794:5264,08/30/16 23:41:02,1024,HLT_PFJet140_v6,0.000082293,0.000079837
279823:5265,08/31/16 10:00:39,335,HLT_PFJet140_v6,0.000028032,0.000027184
279841:5266,08/31/16 15:23:17,2040,HLT_PFJet140_v6,0.000167454,0.000162230
279844:5267,09/01/16 07:21:16,224,HLT_PFJet140_v6,0.000017175,0.000016377
279887:5270,09/01/16 23:20:52,319,HLT_PFJet140_v6,0.000024692,0.000023426
279931:5274,09/02/16 11:37:39,2936,HLT_PFJet140_v6,0.000267985,0.000260140
279966:5275,09/03/16 09:20:25,363,HLT_PFJet140_v6,0.000027583,0.000026490
279975:5276,09/03/16 14:45:09,1024,HLT_PFJet140_v6,0.000084589,0.000081598
279993:5277,09/04/16 00:23:27,78,HLT_PFJet140_v6,0.000005403,0.000004629
279994:5277,09/04/16 00:56:48,54,HLT_PFJet140_v6,0.000003794,0.000003131
280013:5277,09/04/16 03:35:47,32,HLT_PFJet140_v6,0.000002529,0.000001899
280015:5277,09/04/16 03:55:19,572,HLT_PFJet140_v6,0.000051140,0.000049232
280016:5277,09/04/16 07:42:16,155,HLT_PFJet140_v6,0.000015855,0.000014702
280017:5277,09/04/16 08:45:47,613,HLT_PFJet140_v6,0.000057014,0.000054956
280018:5277,09/04/16 12:47:05,1282,HLT_PFJet140_v6,0.000151212,0.000147087
280020:5277,09/04/16 21:15:15,45,HLT_PFJet140_v6,0.000005363,0.000005169
280024:5277,09/04/16 21:47:39,427,HLT_PFJet140_v6,0.000047741,0.000046872
280187:5279,09/05/16 20:24:23,60,HLT_PFJet140_v6,0.000004200,0.000003583
280188:5279,09/05/16 20:50:25,250,HLT_PFJet140_v6,0.000020104,0.000018973
280191:5279,09/05/16 22:40:17,906,HLT_PFJet140_v6,0.000080318,0.000076553
280194:5279,09/06/16 05:36:21,238,HLT_PFJet140_v6,0.000020780,0.000020152
280242:5282,09/06/16 15:43:40,628,HLT_PFJet140_v6,0.000048332,0.000046130
280249:5282,09/06/16 19:52:07,1435,HLT_PFJet140_v6,0.000138034,0.000133240
280251:5282,09/07/16 05:14:58,371,HLT_PFJet140_v6,0.000038776,0.000037772
280327:5287,09/08/16 08:23:13,44,HLT_PFJet140_v6,0.000003570,0.000002940
280330:5287,09/08/16 08:46:53,862,HLT_PFJet140_v6,0.000069781,0.000066772
280349:5287,09/08/16 14:27:22,625,HLT_PFJet140_v6,0.000059335,0.000056966
280363:5287,09/08/16 18:47:24,360,HLT_PFJet140_v6,0.000032959,0.000031737
280364:5287,09/08/16 21:09:57,1351,HLT_PFJet140_v6,0.000134304,0.000129480
